na_handling_setting_name,min_similarity_threshold,algorithm_name,run_id,cluster,fid
dropna,0.5,dominant,0,5,1
dropna,0.5,dominant,0,6,3
dropna,0.5,dominant,0,15,1
dropna,0.5,dominant,0,17,1
dropna,0.5,dominant,0,20,1
dropna,0.5,dominant,0,22,1
dropna,0.5,dominant,1,2,1
dropna,0.5,dominant,1,4,2
dropna,0.5,dominant,1,6,2
dropna,0.5,dominant,1,14,1
dropna,0.5,dominant,1,17,2
dropna,0.5,dominant,1,20,1
dropna,0.5,dominant,2,4,1
dropna,0.5,dominant,2,5,2
dropna,0.5,dominant,2,6,1
dropna,0.5,dominant,2,15,2
dropna,0.5,dominant,2,17,1
dropna,0.5,dominant,2,18,1
dropna,0.5,dominant,3,4,2
dropna,0.5,dominant,3,5,1
dropna,0.5,dominant,3,6,1
dropna,0.5,dominant,3,10,1
dropna,0.5,dominant,3,13,1
dropna,0.5,dominant,3,14,1
dropna,0.5,dominant,3,17,1
dropna,0.5,dominant,3,20,1
dropna,0.5,dominant,4,2,2
dropna,0.5,dominant,4,4,2
dropna,0.5,dominant,4,5,1
dropna,0.5,dominant,4,6,4
dropna,0.5,dominant,4,15,1
dropna,0.5,dominant,5,4,1
dropna,0.5,dominant,5,5,2
dropna,0.5,dominant,5,6,3
dropna,0.5,dominant,5,11,1
dropna,0.5,dominant,5,14,1
dropna,0.5,dominant,5,15,1
dropna,0.5,dominant,5,23,1
dropna,0.5,dominant,6,4,2
dropna,0.5,dominant,6,5,1
dropna,0.5,dominant,6,6,1
dropna,0.5,dominant,6,11,1
dropna,0.5,dominant,6,12,1
dropna,0.5,dominant,6,14,1
dropna,0.5,dominant,6,15,1
dropna,0.5,dominant,6,19,1
dropna,0.5,dominant,7,5,2
dropna,0.5,dominant,7,6,3
dropna,0.5,dominant,7,11,1
dropna,0.5,dominant,7,17,1
dropna,0.5,dominant,7,21,1
dropna,0.5,dominant,8,4,1
dropna,0.5,dominant,8,5,2
dropna,0.5,dominant,8,6,1
dropna,0.5,dominant,8,8,1
dropna,0.5,dominant,8,12,1
dropna,0.5,dominant,8,14,1
dropna,0.5,dominant,8,15,2
dropna,0.5,dominant,8,20,1
dropna,0.5,dominant,9,2,1
dropna,0.5,dominant,9,4,1
dropna,0.5,dominant,9,6,5
dropna,0.5,dominant,9,11,1
dropna,0.5,dominant,9,17,1
dropna,0.5,dominant,10,2,1
dropna,0.5,dominant,10,3,1
dropna,0.5,dominant,10,6,4
dropna,0.5,dominant,10,15,2
dropna,0.5,dominant,11,4,3
dropna,0.5,dominant,11,5,1
dropna,0.5,dominant,11,6,1
dropna,0.5,dominant,11,11,1
dropna,0.5,dominant,11,14,1
dropna,0.5,dominant,11,17,1
dropna,0.5,dominant,11,21,1
dropna,0.5,dominant,12,4,1
dropna,0.5,dominant,12,5,2
dropna,0.5,dominant,12,6,2
dropna,0.5,dominant,12,9,1
dropna,0.5,dominant,12,13,1
dropna,0.5,dominant,12,14,1
dropna,0.5,dominant,12,15,1
dropna,0.5,dominant,12,20,1
dropna,0.5,dominant,13,1,1
dropna,0.5,dominant,13,4,1
dropna,0.5,dominant,13,5,1
dropna,0.5,dominant,13,6,4
dropna,0.5,dominant,13,17,1
dropna,0.5,dominant,14,4,2
dropna,0.5,dominant,14,5,1
dropna,0.5,dominant,14,6,1
dropna,0.5,dominant,14,9,1
dropna,0.5,dominant,14,15,1
dropna,0.5,dominant,14,17,1
dropna,0.5,dominant,14,22,1
dropna,0.5,dominant,15,4,1
dropna,0.5,dominant,15,5,1
dropna,0.5,dominant,15,6,3
dropna,0.5,dominant,15,11,1
dropna,0.5,dominant,15,17,1
dropna,0.5,dominant,15,21,1
dropna,0.5,dominant,15,22,1
dropna,0.5,dominant,16,2,1
dropna,0.5,dominant,16,3,1
dropna,0.5,dominant,16,4,2
dropna,0.5,dominant,16,6,3
dropna,0.5,dominant,16,8,1
dropna,0.5,dominant,16,15,1
dropna,0.5,dominant,17,6,5
dropna,0.5,dominant,17,15,2
dropna,0.5,dominant,17,19,1
dropna,0.5,dominant,18,2,2
dropna,0.5,dominant,18,4,1
dropna,0.5,dominant,18,5,1
dropna,0.5,dominant,18,6,4
dropna,0.5,dominant,18,12,1
dropna,0.5,dominant,18,15,1
dropna,0.5,dominant,19,1,1
dropna,0.5,dominant,19,2,1
dropna,0.5,dominant,19,5,1
dropna,0.5,dominant,19,6,4
dropna,0.5,dominant,19,11,1
dropna,0.5,dominant,19,13,1
dropna,0.5,dominant,19,15,1
dropna,0.5,dominant,20,5,2
dropna,0.5,dominant,20,6,3
dropna,0.5,dominant,20,13,1
dropna,0.5,dominant,20,14,1
dropna,0.5,dominant,20,15,1
dropna,0.5,dominant,21,4,1
dropna,0.5,dominant,21,5,2
dropna,0.5,dominant,21,6,2
dropna,0.5,dominant,21,11,1
dropna,0.5,dominant,21,13,1
dropna,0.5,dominant,21,17,1
dropna,0.5,dominant,21,22,1
dropna,0.5,dominant,22,3,1
dropna,0.5,dominant,22,4,1
dropna,0.5,dominant,22,5,1
