suite,fid,iid,run_id,dimensions,cluster,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_10,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_50,ela_level.lda_qda_50,ela_level.lda_mda_50,ela_level.qda_mda_50,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ic.h.max,ic.eps.s,ic.eps.max,ic.eps.ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init
all,1,1,15.5,10.0,4.0,0.6279,0.6846,0.732,0.8068,0.6306,0.6874499999999999,0.7363,0.8113,-94.2725,-79.92224999999999,-67.8864,-48.9503,-93.76025,-79.3442,-66.94215,-47.89515,0.00895,500.0,0.0030499999999999998,0.0979,36.17085,0.0247,0.94315,1.02715,0.9434,0.1,0.0984,0.1,1.0165,1.0,0.9838,0.25,0.21045,0.2501,1.188,0.9995,0.84175,0.4745,0.12874999999999998,0.3954,3.68895,1.2048,0.32735000000000003,0.123,-0.009600000000000001,1.0,0.84325,0.3654,0.462,-0.1151,0.554,0.15385,0.97265,0.1407,0.0543,-0.5299,0.9,0.9,0.9091,0.9091,0.1212,0.1212,0.21735,0.1126
all,2,1,15.5,10.0,5.0,0.6267499999999999,0.69535,0.7544500000000001,0.83845,0.6288,0.69635,0.75425,0.83795,-30.9869,-25.2921,-20.3843,-13.4123,-30.876849999999997,-25.25705,-20.43785,-13.48145,0.00265,21.13615,7.74935e-06,0.0009,20.9428,0.0076,0.54025,1.08875,0.6635,0.1,0.0991,0.1,1.0088,1.0,0.9912,0.25,0.2258,0.25,1.1074,1.0,0.9027499999999999,0.48250000000000004,0.24845,0.4239,1.9419,1.13625,0.5863499999999999,-1.5937999999999999,6.12685,1.0,0.85375,-1.2763,0.0064,-1.957,0.61995,0.0933,0.9551,0.09145,0.0767,-0.64725,0.9,0.9,0.8182,0.9091,0.12095,0.12095,0.12095,0.11069999999999999
all,3,1,15.5,10.0,4.0,0.6103,0.6713,0.7222,0.8006,0.61425,0.6761999999999999,0.72765,0.8060499999999999,-32.347899999999996,-27.289250000000003,-23.06075,-16.5554,-32.07815,-26.93,-22.645699999999998,-16.12945,0.0040999999999999995,-5.6135,0.00035,0.0081,20.24525,0.00975,0.74685,1.045,0.9260999999999999,0.1,0.09784999999999999,0.1,1.0223499999999999,1.0,0.9781500000000001,0.25,0.20725,0.25015,1.2063,0.99925,0.82755,0.47495,0.1053,0.3921,4.49965,1.2137,0.267,-2.47265,12.2357,2.0,0.8165,-0.3554,0.0334,-1.1762,0.5652,0.1578,0.977,0.14295000000000002,0.0481,-0.6086499999999999,0.9,0.9,0.8182,0.9091,0.11935,0.11935,0.11895,0.1101
all,4,1,15.5,10.0,6.0,1.0141499999999999,1.00995,1.0091999999999999,1.0063499999999999,1.01525,1.01115,1.0095,1.0069,1.2556500000000002,0.88305,0.8180000000000001,0.5619000000000001,1.3580999999999999,0.98995,0.8432,0.60975,-0.0003,0.68895,0.0004,0.00915,20.4038,-0.00045,0.0013,17.788899999999998,0.001,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.499,0.4995,0.49929999999999997,1.00075,1.00275,0.99875,-0.0021999999999999997,-0.17215,1.0,0.87155,0.0651,0.1838,-0.4955,0.6698500000000001,0.04585,0.9111,0.0518,0.1243,-0.6165499999999999,0.9,0.9,0.9091,0.9091,0.12054999999999999,0.12054999999999999,0.11825,0.10965
all,5,1,15.5,10.0,5.0,0.7938000000000001,0.8214,0.8474,0.8883,0.7878000000000001,0.8169,0.8443,0.88595,-5.22395,-4.52405,-3.8664,-2.83025,-5.38565,-4.64675,-3.9506,-2.8948,0.0073,30.0412,0.00355,0.06725,20.44005,0.0138,0.3213,1.1598000000000002,0.3265,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.24775,0.25,1.0091,1.0,0.9910000000000001,0.478,0.32815000000000005,0.44120000000000004,1.4628999999999999,1.08635,0.7456,0.2329,-0.055349999999999996,1.0,0.86825,0.4655,0.462,-0.0951,0.6376,0.0623,0.93065,0.06605,0.1034,-0.5725,0.9,0.9,0.9091,0.9091,0.11965,0.11965,0.14875,0.10955000000000001
all,6,1,15.5,10.0,15.0,0.861,0.8952,0.92035,0.95635,0.8612,0.89665,0.9212,0.9573,-1.76055,-1.3269,-1.00875,-0.55255,-1.7610999999999999,-1.31195,-1.0001,-0.5412,-0.00025,0.78365,0.0235,0.4111,15.885100000000001,-0.0023499999999999997,-0.00075,32.598200000000006,-0.0131,0.1,0.1,0.1,1.0,1.0,1.0,0.2504,0.2501,0.251,1.0,0.9975,0.99675,0.50215,0.50205,0.5019,1.0030999999999999,0.998,1.00075,-0.98685,333.12975,53.0,0.7739,1.9069,0.2015,-0.1051,0.66555,0.0523,0.92105,0.05475,0.1109,-0.36250000000000004,0.9,0.9,0.0909,0.9091,0.11995,0.11995,0.97515,0.10915
all,7,1,15.5,10.0,23.0,0.6234,0.68145,0.7294,0.8061,0.62385,0.6839,0.7327,0.8105,-14.3116,-12.106549999999999,-10.2835,-7.36795,-14.318249999999999,-12.0344,-10.177,-7.216950000000001,0.0085,2031.2208500000002,0.1879,4.0998,22.99875,0.02565,1.0,3.0003,1.0,0.1,0.0975,0.1,1.0256,1.0,0.975,0.25,0.20655,0.2501,1.2103000000000002,0.9995,0.8266,0.47525,0.10300000000000001,0.3875,4.60225,1.22105,0.26855,0.36715,0.19724999999999998,1.0,0.8472,2.047,19.3324,1.5265,0.565,0.15605000000000002,0.97605,0.1443,0.0496,-0.52725,0.9,0.9,0.0909,0.9091,0.12035,0.12035,0.998,0.1124
all,8,1,15.5,10.0,23.0,0.6233,0.68005,0.7296,0.80525,0.6243,0.68275,0.733,0.8098,-14.31635,-12.159500000000001,-10.2749,-7.40095,-14.3044,-12.080649999999999,-10.16475,-7.2412,0.008,2027.69895,0.1716,4.115600000000001,20.865450000000003,0.02485,1.0,3.0,1.0,0.1,0.09755,0.1,1.02495,1.0,0.9756,0.25,0.2057,0.25,1.2153999999999998,1.0,0.82205,0.47214999999999996,0.10405,0.3872,4.5382,1.2208999999999999,0.27165,0.36095,0.1819,1.0,0.8472999999999999,2.047,19.3324,1.5265,0.5643,0.14435,0.97625,0.124,0.04935,-0.52825,0.9,0.9,0.0909,0.9091,0.1197,0.1197,0.9981,0.11175
all,9,1,15.5,10.0,23.0,0.62115,0.68055,0.72925,0.8056,0.6232,0.68295,0.7328,0.8101,-14.39635,-12.1375,-10.2878,-7.3879,-14.34245,-12.06855,-10.173300000000001,-7.23085,0.00855,2027.7006000000001,0.22575,4.14315,19.96685,0.0237,1.0,3.00015,1.0,0.1,0.0975,0.1,1.0256,1.0,0.975,0.25,0.2068,0.2501,1.2092,0.9995,0.8246500000000001,0.47495,0.10250000000000001,0.385,4.56565,1.23685,0.26844999999999997,0.37155,0.17325000000000002,1.0,0.84625,2.047,19.3324,1.5265,0.56345,0.12955,0.97605,0.1189,0.0495,-0.5276,0.9,0.9,0.0909,0.9091,0.1201,0.1201,0.9981,0.1123
all,10,1,15.5,10.0,11.0,0.78145,0.85585,0.90465,0.96615,0.7833,0.8571,0.90595,0.96685,-2.7682,-1.8259500000000002,-1.2076500000000001,-0.4284,-2.749,-1.8134,-1.19405,-0.42100000000000004,-0.00065,0.00065,6.62105e-06,0.0005499999999999999,13.00025,-0.0041,-0.0011,20.41375,-0.0138,0.10055,0.1003,0.1014,1.0018500000000001,0.99325,0.9894000000000001,0.25425,0.25295,0.2554,1.00665,0.99855,0.9926,0.4992,0.49824999999999997,0.4997,0.9996499999999999,0.9982,0.99475,46.859750000000005,3528.01965,24.5,0.6123,-1.5966,1e-05,2.3964083086053414,0.6431,0.06555,0.92755,0.07095,0.1046,-0.09455,0.9,0.9,0.8182,0.9091,0.1207,0.1207,0.12065000000000001,0.10975
