suite,fid,iid,ela_level.mmce_qda_50,ic.eps.max,disp.ratio_mean_02,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.intercept,ela_level.mmce_lda_25,disp.diff_median_02,ela_level.mmce_qda_25,ela_level.lda_qda_25,disp.diff_median_10,ela_level.lda_mda_25,ela_level.lda_qda_50,disp.diff_median_25,ela_level.lda_mda_50,ela_distr.number_of_peaks,disp.ratio_mean_05,disp.diff_mean_05,ela_level.lda_mda_10,ela_distr.skewness,pca.expl_var.cov_x,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_50,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,ic.m0,ela_level.lda_qda_10,disp.ratio_median_05,disp.diff_mean_25,ela_level.mmce_lda_10,ela_level.qda_mda_25,ela_meta.lin_simple.coef.min,disp.diff_median_05,disp.ratio_mean_25,pca.expl_var.cor_init,pca.expl_var.cov_init,ela_level.qda_mda_50,ic.h.max,ela_meta.lin_simple.adj_r2,ela_meta.quad_simple.cond,nbc.nn_nb.cor,nbc.nb_fitness.cor,ela_meta.quad_simple.adj_r2,ela_distr.kurtosis,ela_level.qda_mda_10,ela_level.mmce_qda_10,pca.expl_var.cor_x,ic.eps.ratio,ela_level.mmce_mda_10,disp.ratio_mean_10,pca.expl_var_PC1.cov_x,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_02,ela_level.mmce_mda_25,ela_meta.quad_w_interact.adj_r2,pca.expl_var_PC1.cor_init,nbc.dist_ratio.coeff_var,nbc.nn_nb.sd_ratio,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.coef.max,nbc.nn_nb.mean_ratio,ela_level.mmce_mda_50,disp.diff_mean_10,cluster
bbob,1,1,0.15205,2.789,0.6248499999999999,0.1202,187.8498,0.18765,-4.7159,0.12385,1.53045,-3.16255,1.1033499999999998,1.4448,-2.12685,1.0711499999999998,1.0,0.69035,-3.9226,1.0658500000000002,0.4477,0.9,0.94845,0.2224,0.75075,0.8323499999999999,-4.7518,0.54785,1.4738,0.69455,-2.1731,0.0991499999999999,0.7232000000000001,0.09385,-3.87465,0.82845,0.8182,0.0909,0.7379,0.8404,0.5742499999999999,1.0,0.134,-0.42155,1.0,0.1137499999999999,0.7283999999999999,0.0673999999999999,0.9,0.6657,0.093,0.74655,0.1202,67.27725,0.6283000000000001,0.17035,1.0,0.16085,0.05235,0.1451,0.5804499999999999,6.06665,0.9741,0.2061,-3.20995,1
bbob,1,2,0.1054,3.5119,0.6648000000000001,0.1195499999999999,567.2103,0.1112,-4.23395,0.0797,1.38885,-2.70775,1.1024,1.26505,-1.7454,1.04245,1.0,0.7289,-3.43425,1.1073,0.33,0.9,0.9792,0.13315,0.78655,0.8624499999999999,-4.24565,0.5338,1.5236,0.73065,-1.75935,0.0665,0.7992,1.08965,-3.4177,0.8611,0.8182,0.0909,0.8212999999999999,0.8322,0.8277,1.0,0.1175499999999999,-0.36765,1.0,-0.03325,0.72565,0.0438,0.9,0.7658,0.0605,0.78425,0.1195499999999999,7.3811,0.66635,0.1014,1.0,0.1754,0.0589,0.12775,0.8301499999999999,7.9892,0.9688,0.12735,-2.7328,0
bbob,1,3,0.1119,3.3537,0.6622,0.12045,-86.5577,0.1192,-4.273899999999999,0.08475,1.40375,-2.7426,1.0975,1.27225,-1.77625,1.0467,1.0,0.7297,-3.424,1.09495,0.3399,0.9,0.97665,0.1431,0.7839,0.85995,-4.279450000000001,0.53585,1.5395,0.7316,-1.79855,0.0712,0.7738,0.1846,-3.40645,0.85805,0.8182,0.0909,0.8269,0.83375,0.81025,1.0,0.11695,-0.3707,1.0,-0.04035,0.7229,0.04645,0.9,0.7457,0.06525,0.7816000000000001,0.12045,42.3616,0.6633,0.10925,1.0,0.17465,0.0584,0.1283,0.81325,7.99635,0.9693,0.1357,-2.7664,0
bbob,1,4,0.1284,3.0583,0.64655,0.11915,-18.8307,0.14345,-4.44745,0.09995,1.44385,-2.86825,1.10385,1.31615,-1.89785,1.0605000000000002,1.0,0.71385,-3.62405,1.08515,0.378,0.9,0.9667,0.1696,0.774,0.85045,-4.47705,0.5396,1.479,0.71685,-1.9309,0.08215,0.76635,0.1683,-3.5934,0.84755,0.8182,0.0909,0.8003,0.83415,0.72885,1.0,0.1137,-0.3874499999999999,1.0,-0.0148,0.73045,0.0543499999999999,0.9,0.7057,0.0751999999999999,0.77075,0.11915,46.2066,0.64955,0.13095,1.0,0.1700499999999999,0.0557,0.1247,0.7323500000000001,7.8372,0.97125,0.1588999999999999,-2.9039,0
bbob,1,5,0.12855,3.0583,0.63995,0.12035,107.3743,0.14645,-4.5319,0.10115,1.4399,-2.9240500000000003,1.09995,1.3397,-1.92725,1.05905,1.0,0.7086,-3.69155,1.0844,0.41265,0.9,0.96695,0.1726,0.7696,0.8481,-4.561249999999999,0.54235,1.5222,0.71195,-1.9641,0.0825,0.76485,0.3201,-3.65655,0.84495,0.8182,0.0909,0.7911999999999999,0.83525,0.7293000000000001,1.0,0.13135,-0.38765,1.0,0.0873,0.7138,0.0545,0.9,0.7057,0.07615,0.7666,0.12035,23.0274,0.6429,0.132,1.0,0.1698,0.0554,0.1422999999999999,0.7345999999999999,7.25135,0.97165,0.16225,-2.9562,0
bbob,2,1,0.047,468458.0116,0.8338,0.1224,16637949.899,0.1835,-2.113,0.09415,1.9256,-1.41585,1.5,0.96555,-1.0366,1.03985,13.0,0.8612,-1.7582,0.9307,0.9123,0.9,1.0,0.04595,0.88845,0.9183,-2.10515,0.55265,1.8492,0.8613,-1.0377,0.10155,0.76925,6247.566999999999,-1.76035,0.91805,0.8182,0.0909,1.0779999999999998,0.7867,0.80745,5651.8195,0.0723999999999999,-0.28685,0.9984,-0.37605,0.50115,0.05515,0.9,5.991,0.1091999999999999,0.8884,0.1224,754.2103,0.8335,0.1227,0.9992,0.1746,0.0791,0.08145,0.80905,4695830.8281,0.9538,0.0444,-1.4136000000000002,0
bbob,2,2,0.149,479508.19110000005,0.8387,0.12065,12972568.565450002,0.33625,-2.04245,0.11155,3.0044000000000004,-1.444,1.9152,1.1811,-1.04315,1.30165,10.0,0.8611,-1.7591,0.9975,1.01045,0.9,1.0,0.1760499999999999,0.8862,0.9178,-2.04315,0.55795,1.3356,0.86115,-1.04405,0.1,0.6329,5757.939200000001,-1.76235,0.91755,0.8182,0.0909,1.12505,0.81185,0.62255,4347.794449999999,0.0777,-0.3248,0.9969,-0.143,0.74315,0.0749,0.9,6.011,0.1003,0.8861000000000001,0.12065,533.2046,0.8390500000000001,0.17485,0.9987,0.1648,0.07925,0.0854,0.62755,3076223.00655,0.9535,0.1325,-1.4423499999999998,0
bbob,2,3,0.0292,589889.6426,0.83675,0.1209,22631590.8514,0.0786,-2.0606,0.03775,2.08555,-1.34915,1.721,1.00635,-0.97745,1.01675,16.0,0.866,-1.69755,1.1102500000000002,0.8311999999999999,0.9,1.0,0.0294499999999999,0.8936999999999999,0.92295,-2.068,0.5354,2.362,0.8669,-0.9763,0.08645,0.84565,7355.663549999999,-1.68915,0.9229,0.8182,0.0909,1.00435,0.7558,0.8749,4028.3753,0.0811,-0.29025,0.9982,-0.37865,0.47125,0.03655,0.9,6.1111,0.0774499999999999,0.89305,0.1209,850.0572999999999,0.83765,0.04495,0.9984,0.1778,0.08015,0.0858,0.8762,6263312.335,0.9523,0.0291,-1.3544999999999998,0
bbob,2,4,0.13115,617718.7597,0.8315,0.1207999999999999,13749739.144,0.2597,-2.14605,0.09815,2.6403,-1.4455,4.72635,2.3978,-1.1033,2.59725,6.0,0.86555,-1.7032,1.1868,0.52915,0.9,1.0,0.3144,0.8861,0.913,-2.13475,0.5533,1.9744,0.8655,-1.09865,0.10045,1.81305,10803.422,-1.70735,0.91325,0.9091,0.0909,1.0837,0.8212,0.2887499999999999,5425.714400000001,0.089,-0.4261,0.9979,-0.429,0.59495,0.0509,0.9,6.0911,0.0851,0.88595,0.1207999999999999,148.03405,0.8308500000000001,0.0548,0.998,0.1422999999999999,0.0784,0.09075,0.2976999999999999,1604483.40425,0.9542,0.1215499999999999,-1.4443,3
bbob,2,5,0.0389,490558.3706,0.8371500000000001,0.1221,22412333.92595,0.0978499999999999,-2.05935,0.0509499999999999,1.92345,-1.47015,1.8623,0.9839,-1.01545,1.0153,13.0,0.86235,-1.7438,1.1043,0.97005,0.9,1.0,0.038,0.88415,0.92,-2.0631500000000003,0.5405,2.40885,0.8632500000000001,-1.01145,0.09095,0.97275,7730.1052,-1.7352,0.92015,0.8182,0.0909,1.03635,0.7709,0.82555,7942.97265,0.0798,-0.2899,0.9982,-0.26195,0.4664,0.03765,0.9,6.0711,0.08245,0.8841,0.1221,813.4493500000001,0.8377,0.0528,0.9987,0.1759,0.07925,0.0849,0.82735,6288213.8818500005,0.9532,0.037,-1.468,0
