suite,fid,iid,ela_meta.quad_simple.cond,ela_level.lda_qda_10,ic.eps.ratio,disp.diff_median_25,ela_level.lda_mda_25,nbc.dist_ratio.coeff_var,ela_meta.quad_simple.adj_r2,ela_level.qda_mda_50,pca.expl_var_PC1.cor_init,ela_meta.lin_simple.adj_r2,disp.ratio_median_02,disp.diff_mean_05,pca.expl_var.cov_init,ela_level.mmce_qda_10,ela_level.mmce_lda_50,ela_level.lda_mda_10,nbc.nn_nb.sd_ratio,disp.ratio_mean_10,disp.diff_mean_25,ela_level.mmce_mda_10,ela_level.lda_mda_50,disp.ratio_median_25,pca.expl_var_PC1.cor_x,ela_meta.quad_w_interact.adj_r2,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_05,disp.ratio_mean_05,pca.expl_var.cor_x,ela_level.mmce_lda_25,nbc.nn_nb.mean_ratio,ela_distr.kurtosis,disp.diff_median_02,ela_level.lda_qda_50,ela_level.mmce_qda_25,disp.ratio_median_10,ela_distr.skewness,disp.diff_mean_02,disp.ratio_mean_25,nbc.nb_fitness.cor,ela_level.mmce_mda_25,ela_level.lda_qda_25,pca.expl_var_PC1.cov_x,disp.diff_median_10,ela_meta.lin_simple.coef.min,ela_level.qda_mda_25,ela_meta.lin_simple.intercept,ic.h.max,pca.expl_var.cov_x,ela_level.qda_mda_10,ic.eps.max,nbc.nn_nb.cor,pca.expl_var_PC1.cov_init,disp.diff_mean_10,disp.ratio_mean_02,ela_level.mmce_qda_50,ela_distr.number_of_peaks,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ela_level.mmce_mda_50,ic.m0,disp.diff_median_05,ela_level.mmce_lda_10,clustering_12_clusters
bbob,1,1,1.0,1.4738,0.6657,-2.12685,1.1033499999999998,0.05235,1.0,0.7379,0.16085,0.5742499999999999,0.6283000000000001,-3.9226,0.0909,0.0673999999999999,0.2224,1.0658500000000002,0.1451,0.74655,-2.1731,0.093,1.0711499999999998,0.8323499999999999,0.1202,1.0,0.8182,67.27725,0.69455,0.69035,0.9,0.18765,0.9741,0.1137499999999999,-4.7159,1.4448,0.12385,0.75075,0.4477,-4.7518,0.82845,-0.42155,0.17035,1.53045,0.1202,-3.16255,0.09385,0.7232000000000001,187.8498,0.8404,0.9,0.7283999999999999,2.789,0.134,0.94845,-3.20995,0.6248499999999999,0.15205,1.0,0.5804499999999999,6.06665,0.2061,0.54785,-3.87465,0.0991499999999999,1
bbob,1,2,1.0,1.5236,0.7658,-1.7454,1.1024,0.0589,1.0,0.8212999999999999,0.1754,0.8277,0.66635,-3.43425,0.0909,0.0438,0.13315,1.1073,0.12775,0.78425,-1.75935,0.0605,1.04245,0.8624499999999999,0.1195499999999999,1.0,0.8182,7.3811,0.73065,0.7289,0.9,0.1112,0.9688,-0.03325,-4.23395,1.26505,0.0797,0.78655,0.33,-4.24565,0.8611,-0.36765,0.1014,1.38885,0.1195499999999999,-2.70775,1.08965,0.7992,567.2103,0.8322,0.9,0.72565,3.5119,0.1175499999999999,0.9792,-2.7328,0.6648000000000001,0.1054,1.0,0.8301499999999999,7.9892,0.12735,0.5338,-3.4177,0.0665,0
bbob,1,3,1.0,1.5395,0.7457,-1.77625,1.0975,0.0584,1.0,0.8269,0.17465,0.81025,0.6633,-3.424,0.0909,0.04645,0.1431,1.09495,0.1283,0.7816000000000001,-1.79855,0.06525,1.0467,0.85995,0.12045,1.0,0.8182,42.3616,0.7316,0.7297,0.9,0.1192,0.9693,-0.04035,-4.273899999999999,1.27225,0.08475,0.7839,0.3399,-4.279450000000001,0.85805,-0.3707,0.10925,1.40375,0.12045,-2.7426,0.1846,0.7738,-86.5577,0.83375,0.9,0.7229,3.3537,0.11695,0.97665,-2.7664,0.6622,0.1119,1.0,0.81325,7.99635,0.1357,0.53585,-3.40645,0.0712,5
bbob,1,4,1.0,1.479,0.7057,-1.89785,1.10385,0.0557,1.0,0.8003,0.1700499999999999,0.72885,0.64955,-3.62405,0.0909,0.0543499999999999,0.1696,1.08515,0.1247,0.77075,-1.9309,0.0751999999999999,1.0605000000000002,0.85045,0.11915,1.0,0.8182,46.2066,0.71685,0.71385,0.9,0.14345,0.97125,-0.0148,-4.44745,1.31615,0.09995,0.774,0.378,-4.47705,0.84755,-0.3874499999999999,0.13095,1.44385,0.11915,-2.86825,0.1683,0.76635,-18.8307,0.83415,0.9,0.73045,3.0583,0.1137,0.9667,-2.9039,0.64655,0.1284,1.0,0.7323500000000001,7.8372,0.1588999999999999,0.5396,-3.5934,0.08215,11
bbob,1,5,1.0,1.5222,0.7057,-1.92725,1.09995,0.0554,1.0,0.7911999999999999,0.1698,0.7293000000000001,0.6429,-3.69155,0.0909,0.0545,0.1726,1.0844,0.1422999999999999,0.7666,-1.9641,0.07615,1.05905,0.8481,0.12035,1.0,0.8182,23.0274,0.71195,0.7086,0.9,0.14645,0.97165,0.0873,-4.5319,1.3397,0.10115,0.7696,0.41265,-4.561249999999999,0.84495,-0.38765,0.132,1.4399,0.12035,-2.9240500000000003,0.3201,0.76485,107.3743,0.83525,0.9,0.7138,3.0583,0.13135,0.96695,-2.9562,0.63995,0.12855,1.0,0.7345999999999999,7.25135,0.16225,0.54235,-3.65655,0.0825,0
bbob,2,1,5651.8195,1.8492,5.991,-1.0366,1.5,0.0791,0.9984,1.0779999999999998,0.1746,0.80745,0.8335,-1.7582,0.0909,0.05515,0.04595,0.9307,0.08145,0.8884,-1.0377,0.1091999999999999,1.03985,0.9183,0.1224,0.9992,0.8182,754.2103,0.8613,0.8612,0.9,0.1835,0.9538,-0.37605,-2.113,0.96555,0.09415,0.88845,0.9123,-2.10515,0.91805,-0.28685,0.1227,1.9256,0.1224,-1.41585,6247.566999999999,0.76925,16637949.899,0.7867,0.9,0.50115,468458.0116,0.0723999999999999,1.0,-1.4136000000000002,0.8338,0.047,13.0,0.80905,4695830.8281,0.0444,0.55265,-1.76035,0.10155,0
bbob,2,2,4347.794449999999,1.3356,6.011,-1.04315,1.9152,0.07925,0.9969,1.12505,0.1648,0.62255,0.8390500000000001,-1.7591,0.0909,0.0749,0.1760499999999999,0.9975,0.0854,0.8861000000000001,-1.04405,0.1003,1.30165,0.9178,0.12065,0.9987,0.8182,533.2046,0.86115,0.8611,0.9,0.33625,0.9535,-0.143,-2.04245,1.1811,0.11155,0.8862,1.01045,-2.04315,0.91755,-0.3248,0.17485,3.0044000000000004,0.12065,-1.444,5757.939200000001,0.6329,12972568.565450002,0.81185,0.9,0.74315,479508.19110000005,0.0777,1.0,-1.4423499999999998,0.8387,0.149,10.0,0.62755,3076223.00655,0.1325,0.55795,-1.76235,0.1,0
bbob,2,3,4028.3753,2.362,6.1111,-0.97745,1.721,0.08015,0.9982,1.00435,0.1778,0.8749,0.83765,-1.69755,0.0909,0.03655,0.0294499999999999,1.1102500000000002,0.0858,0.89305,-0.9763,0.0774499999999999,1.01675,0.92295,0.1209,0.9984,0.8182,850.0572999999999,0.8669,0.866,0.9,0.0786,0.9523,-0.37865,-2.0606,1.00635,0.03775,0.8936999999999999,0.8311999999999999,-2.068,0.9229,-0.29025,0.04495,2.08555,0.1209,-1.34915,7355.663549999999,0.84565,22631590.8514,0.7558,0.9,0.47125,589889.6426,0.0811,1.0,-1.3544999999999998,0.83675,0.0292,16.0,0.8762,6263312.335,0.0291,0.5354,-1.68915,0.08645,0
bbob,2,4,5425.714400000001,1.9744,6.0911,-1.1033,4.72635,0.0784,0.9979,1.0837,0.1422999999999999,0.2887499999999999,0.8308500000000001,-1.7032,0.0909,0.0509,0.3144,1.1868,0.09075,0.88595,-1.09865,0.0851,2.59725,0.913,0.1207999999999999,0.998,0.9091,148.03405,0.8655,0.86555,0.9,0.2597,0.9542,-0.429,-2.14605,2.3978,0.09815,0.8861,0.52915,-2.13475,0.91325,-0.4261,0.0548,2.6403,0.1207999999999999,-1.4455,10803.422,1.81305,13749739.144,0.8212,0.9,0.59495,617718.7597,0.089,1.0,-1.4443,0.8315,0.13115,6.0,0.2976999999999999,1604483.40425,0.1215499999999999,0.5533,-1.70735,0.10045,0
bbob,2,5,7942.97265,2.40885,6.0711,-1.01545,1.8623,0.07925,0.9982,1.03635,0.1759,0.82555,0.8377,-1.7438,0.0909,0.03765,0.038,1.1043,0.0849,0.8841,-1.01145,0.08245,1.0153,0.92,0.1221,0.9987,0.8182,813.4493500000001,0.8632500000000001,0.86235,0.9,0.0978499999999999,0.9532,-0.26195,-2.05935,0.9839,0.0509499999999999,0.88415,0.97005,-2.0631500000000003,0.92015,-0.2899,0.0528,1.92345,0.1221,-1.47015,7730.1052,0.97275,22412333.92595,0.7709,0.9,0.4664,490558.3706,0.0798,1.0,-1.468,0.8371500000000001,0.0389,13.0,0.82735,6288213.8818500005,0.037,0.5405,-1.7352,0.09095,0
