suite,fid,iid,pca.expl_var_PC1.cov_init,disp.ratio_mean_10,disp.diff_mean_02,nbc.nb_fitness.cor,ela_level.mmce_lda_50,nbc.nn_nb.sd_ratio,ela_level.mmce_qda_10,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_mda_25,disp.ratio_median_02,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_qda_50,ela_distr.kurtosis,disp.ratio_median_25,nbc.dist_ratio.coeff_var,ela_distr.number_of_peaks,ela_level.mmce_mda_10,pca.expl_var.cov_init,ela_distr.skewness,disp.ratio_mean_02,ela_level.mmce_mda_50,ela_level.lda_mda_50,nbc.nn_nb.mean_ratio,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.intercept,ela_level.qda_mda_10,ela_level.lda_mda_10,disp.diff_mean_25,ela_meta.quad_simple.cond,nbc.nn_nb.cor,disp.diff_mean_10,ic.m0,disp.diff_median_05,ela_level.lda_qda_25,ela_level.lda_qda_50,disp.ratio_mean_25,ela_level.mmce_mda_25,pca.expl_var_PC1.cor_init,disp.diff_median_25,ic.eps.ratio,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,disp.ratio_median_05,pca.expl_var.cov_x,ela_meta.lin_simple.coef.max,ela_meta.quad_simple.adj_r2,disp.ratio_median_10,disp.ratio_mean_05,disp.diff_median_10,pca.expl_var_PC1.cov_x,disp.diff_median_02,disp.diff_mean_05,ela_meta.lin_simple.adj_r2,ela_level.mmce_qda_25,ic.h.max,ela_level.qda_mda_50,ela_level.mmce_lda_10,pca.expl_var.cor_x,ic.eps.max,ela_level.qda_mda_25,subclustering_10_clusters,subclustering_15_clusters,subclustering_21_clusters,subclustering_34_clusters,subclustering_46_clusters,subclustering_48_clusters,clustering_12_clusters
bbob,1,2,0.9792,0.78425,-4.24565,-0.36765,0.13315,0.12775,0.0438,0.8182,7.3811,1.1024,0.66635,1.5236,0.1112,0.8301499999999999,0.1054,-0.03325,0.8624499999999999,0.0589,1.0,0.0605,0.0909,0.33,0.6648000000000001,0.12735,1.04245,0.9688,0.1195499999999999,567.2103,0.72565,1.1073,-1.75935,1.0,0.1175499999999999,-2.7328,0.5338,-3.4177,1.38885,1.26505,0.8611,0.1014,0.1754,-1.7454,0.7658,1.08965,1.0,0.73065,0.9,7.9892,1.0,0.78655,0.7289,-2.70775,0.1195499999999999,-4.23395,-3.43425,0.8277,0.0797,0.8322,0.8212999999999999,0.0665,0.9,3.5119,0.7992,17,18,14,17,13,13,
bbob,1,5,0.96695,0.7666,-4.561249999999999,-0.38765,0.1726,0.1422999999999999,0.0545,0.8182,23.0274,1.09995,0.6429,1.5222,0.14645,0.7345999999999999,0.12855,0.0873,0.8481,0.0554,1.0,0.07615,0.0909,0.41265,0.63995,0.16225,1.05905,0.97165,0.12035,107.3743,0.7138,1.0844,-1.9641,1.0,0.13135,-2.9562,0.54235,-3.65655,1.4399,1.3397,0.84495,0.132,0.1698,-1.92725,0.7057,0.3201,1.0,0.71195,0.9,7.25135,1.0,0.7696,0.7086,-2.9240500000000003,0.12035,-4.5319,-3.69155,0.7293000000000001,0.10115,0.83525,0.7911999999999999,0.0825,0.9,3.0583,0.76485,20,25,31,31,51,51,
bbob,2,1,1.0,0.8884,-2.10515,-0.28685,0.04595,0.08145,0.05515,0.8182,754.2103,1.5,0.8335,1.8492,0.1835,0.80905,0.047,-0.37605,0.9183,0.0791,13.0,0.1091999999999999,0.0909,0.9123,0.8338,0.0444,1.03985,0.9538,0.1224,16637949.899,0.50115,0.9307,-1.0377,5651.8195,0.0723999999999999,-1.4136000000000002,0.55265,-1.76035,1.9256,0.96555,0.91805,0.1227,0.1746,-1.0366,5.991,6247.566999999999,0.9992,0.8613,0.9,4695830.8281,0.9984,0.88845,0.8612,-1.41585,0.1224,-2.113,-1.7582,0.80745,0.09415,0.7867,1.0779999999999998,0.10155,0.9,468458.0116,0.76925,18,19,15,35,17,19,
bbob,2,2,1.0,0.8861000000000001,-2.04315,-0.3248,0.1760499999999999,0.0854,0.0749,0.8182,533.2046,1.9152,0.8390500000000001,1.3356,0.33625,0.62755,0.149,-0.143,0.9178,0.07925,10.0,0.1003,0.0909,1.01045,0.8387,0.1325,1.30165,0.9535,0.12065,12972568.565450002,0.74315,0.9975,-1.04405,4347.794449999999,0.0777,-1.4423499999999998,0.55795,-1.76235,3.0044000000000004,1.1811,0.91755,0.17485,0.1648,-1.04315,6.011,5757.939200000001,0.9987,0.86115,0.9,3076223.00655,0.9969,0.8862,0.8611,-1.444,0.12065,-2.04245,-1.7591,0.62255,0.11155,0.81185,1.12505,0.1,0.9,479508.19110000005,0.6329,18,19,15,35,17,19,
bbob,2,3,1.0,0.89305,-2.068,-0.29025,0.0294499999999999,0.0858,0.03655,0.8182,850.0572999999999,1.721,0.83765,2.362,0.0786,0.8762,0.0292,-0.37865,0.92295,0.08015,16.0,0.0774499999999999,0.0909,0.8311999999999999,0.83675,0.0291,1.01675,0.9523,0.1209,22631590.8514,0.47125,1.1102500000000002,-0.9763,4028.3753,0.0811,-1.3544999999999998,0.5354,-1.68915,2.08555,1.00635,0.9229,0.04495,0.1778,-0.97745,6.1111,7355.663549999999,0.9984,0.8669,0.9,6263312.335,0.9982,0.8936999999999999,0.866,-1.34915,0.1209,-2.0606,-1.69755,0.8749,0.03775,0.7558,1.00435,0.08645,0.9,589889.6426,0.84565,18,19,15,35,17,19,
bbob,2,4,1.0,0.88595,-2.13475,-0.4261,0.3144,0.09075,0.0509,0.9091,148.03405,4.72635,0.8308500000000001,1.9744,0.2597,0.2976999999999999,0.13115,-0.429,0.913,0.0784,6.0,0.0851,0.0909,0.52915,0.8315,0.1215499999999999,2.59725,0.9542,0.1207999999999999,13749739.144,0.59495,1.1868,-1.09865,5425.714400000001,0.089,-1.4443,0.5533,-1.70735,2.6403,2.3978,0.91325,0.0548,0.1422999999999999,-1.1033,6.0911,10803.422,0.998,0.8655,0.9,1604483.40425,0.9979,0.8861,0.86555,-1.4455,0.1207999999999999,-2.14605,-1.7032,0.2887499999999999,0.09815,0.8212,1.0837,0.10045,0.9,617718.7597,1.81305,14,14,19,38,19,20,
bbob,2,5,1.0,0.8841,-2.0631500000000003,-0.2899,0.038,0.0849,0.03765,0.8182,813.4493500000001,1.8623,0.8377,2.40885,0.0978499999999999,0.82735,0.0389,-0.26195,0.92,0.07925,13.0,0.08245,0.0909,0.97005,0.8371500000000001,0.037,1.0153,0.9532,0.1221,22412333.92595,0.4664,1.1043,-1.01145,7942.97265,0.0798,-1.468,0.5405,-1.7352,1.92345,0.9839,0.92015,0.0528,0.1759,-1.01545,6.0711,7730.1052,0.9987,0.8632500000000001,0.9,6288213.8818500005,0.9982,0.88415,0.86235,-1.47015,0.1221,-2.05935,-1.7438,0.82555,0.0509499999999999,0.7709,1.03635,0.09095,0.9,490558.3706,0.97275,18,19,15,35,17,19,
bbob,3,1,0.9989,0.79005,-3.97265,-0.40535,0.2675,0.1081,0.06795,0.9091,26.19025,1.35825,0.6844,1.48955,0.21405,0.4073,0.1512,1.5435,0.85945,0.0628,2.0,0.094,0.0909,1.12855,0.6862999999999999,0.1613,1.64805,0.966,0.12035,187.11495,0.7316,1.08685,-1.7917999999999998,21.6118,0.0991,-2.6597,0.55795,-3.2575000000000003,1.66525,1.7745,0.8585499999999999,0.1578,0.15095,-1.7827,1.4665,1.3130000000000002,0.97885,0.7432,0.9,35.994150000000005,0.922,0.7896000000000001,0.74425,-2.6691000000000003,0.12035,-4.0039,-3.23955,0.3974,0.12795,0.83165,0.93105,0.1024,0.9,16.077,0.80355,13,12,27,13,49,44,
bbob,3,2,1.0,0.8052,-3.88705,-0.2724,0.0537,0.1015,0.0584999999999999,0.8182,601.7927999999999,1.1960000000000002,0.6897,1.64415,0.14195,0.7239,0.05305,0.3224,0.8815,0.06745,16.0,0.0882,0.0909,1.31645,0.6931,0.0525,1.0210499999999998,0.9617,0.12065,2511.0254,0.6758,1.0943,-1.5202,213.73485,0.0923,-2.46755,0.5404,-3.1002,1.42155,1.0215999999999998,0.88,0.11895,0.17015,-1.50395,1.967,1.29575,0.9926,0.75575,0.9,777.9603,0.9741,0.806,0.7553,-2.4613500000000004,0.12065,-3.9371,-3.09955,0.7213,0.0993,0.7485999999999999,1.0036,0.09675,0.9,30.654,0.8405,13,22,29,29,55,55,
bbob,3,3,1.0,0.81985,-3.56255,-0.3523,0.1594999999999999,0.09385,0.04145,0.8182,216.83275,1.31255,0.7164,1.7226,0.12885,0.69785,0.1127,0.3412,0.8813,0.0681,5.0,0.06295,0.0909,0.96995,0.7188,0.1132,1.41565,0.9616,0.1197,2858.3609,0.65655,1.12635,-1.4953500000000002,129.6424,0.089,-2.2812,0.53925,-2.8591,1.6123,1.4205,0.88195,0.0973,0.16875,-1.5063,2.2472,2.2296500000000004,0.9897,0.7746999999999999,0.9,476.80635,0.959,0.819,0.7767,-2.2964,0.1197,-3.6000500000000004,-2.8288,0.69475,0.07995,0.7778499999999999,0.99835,0.07025,0.9,77.0703,0.8165,14,26,12,19,46,23,
