na_handling_setting_name,min_similarity_threshold,algorithm_name,run_id,cluster
dropna,0.5,dominant,0,6
dropna,0.5,dominant,1,6
dropna,0.5,dominant,2,6
dropna,0.5,dominant,3,8
dropna,0.5,dominant,4,5
dropna,0.5,dominant,5,7
dropna,0.5,dominant,6,8
dropna,0.5,dominant,7,5
dropna,0.5,dominant,8,8
dropna,0.5,dominant,9,5
dropna,0.5,dominant,10,4
dropna,0.5,dominant,11,7
dropna,0.5,dominant,12,8
dropna,0.5,dominant,13,5
dropna,0.5,dominant,14,7
dropna,0.5,dominant,15,7
dropna,0.5,dominant,16,6
dropna,0.5,dominant,17,3
dropna,0.5,dominant,18,6
dropna,0.5,dominant,19,7
dropna,0.5,dominant,20,5
dropna,0.5,dominant,21,7
dropna,0.5,dominant,22,5
dropna,0.5,dominant,23,6
dropna,0.5,dominant,24,7
dropna,0.5,dominant,25,6
dropna,0.5,dominant,26,5
dropna,0.5,dominant,27,6
dropna,0.5,dominant,28,5
dropna,0.5,dominant,29,4
dropna,0.5,mis,0,6
dropna,0.5,mis,1,5
dropna,0.5,mis,2,7
dropna,0.5,mis,3,6
dropna,0.5,mis,4,5
dropna,0.5,mis,5,5
dropna,0.5,mis,6,7
dropna,0.5,mis,7,6
dropna,0.5,mis,8,7
dropna,0.5,mis,9,6
dropna,0.5,mis,10,6
dropna,0.5,mis,11,6
dropna,0.5,mis,12,6
dropna,0.5,mis,13,6
dropna,0.5,mis,14,8
dropna,0.5,mis,15,7
dropna,0.5,mis,16,5
dropna,0.5,mis,17,4
dropna,0.5,mis,18,6
dropna,0.5,mis,19,8
dropna,0.5,mis,20,5
dropna,0.5,mis,21,7
dropna,0.5,mis,22,5
dropna,0.5,mis,23,8
dropna,0.5,mis,24,7
dropna,0.5,mis,25,6
dropna,0.5,mis,26,6
dropna,0.5,mis,27,7
dropna,0.5,mis,28,6
dropna,0.5,mis,29,7
dropna,0.7,dominant,0,8
dropna,0.7,dominant,1,7
dropna,0.7,dominant,2,8
dropna,0.7,dominant,3,9
dropna,0.7,dominant,4,7
dropna,0.7,dominant,5,8
dropna,0.7,dominant,6,8
dropna,0.7,dominant,7,6
dropna,0.7,dominant,8,10
dropna,0.7,dominant,9,7
dropna,0.7,dominant,10,7
dropna,0.7,dominant,11,10
dropna,0.7,dominant,12,9
dropna,0.7,dominant,13,9
dropna,0.7,dominant,14,10
dropna,0.7,dominant,15,8
dropna,0.7,dominant,16,7
dropna,0.7,dominant,17,6
dropna,0.7,dominant,18,9
dropna,0.7,dominant,19,9
dropna,0.7,dominant,20,8
dropna,0.7,dominant,21,9
dropna,0.7,dominant,22,7
dropna,0.7,dominant,23,8
dropna,0.7,dominant,24,8
dropna,0.7,dominant,25,8
dropna,0.7,dominant,26,8
dropna,0.7,dominant,27,9
dropna,0.7,dominant,28,8
dropna,0.7,dominant,29,7
dropna,0.7,mis,0,9
dropna,0.7,mis,1,5
dropna,0.7,mis,2,10
dropna,0.7,mis,3,9
dropna,0.7,mis,4,10
dropna,0.7,mis,5,7
dropna,0.7,mis,6,6
dropna,0.7,mis,7,8
dropna,0.7,mis,8,7
dropna,0.7,mis,9,8
dropna,0.7,mis,10,7
dropna,0.7,mis,11,7
dropna,0.7,mis,12,8
dropna,0.7,mis,13,6
dropna,0.7,mis,14,9
dropna,0.7,mis,15,8
dropna,0.7,mis,16,6
dropna,0.7,mis,17,6
dropna,0.7,mis,18,7
dropna,0.7,mis,19,6
dropna,0.7,mis,20,6
dropna,0.7,mis,21,6
dropna,0.7,mis,22,9
dropna,0.7,mis,23,8
dropna,0.7,mis,24,9
dropna,0.7,mis,25,8
dropna,0.7,mis,26,6
dropna,0.7,mis,27,8
dropna,0.7,mis,28,6
dropna,0.7,mis,29,7
dropna,0.9,dominant,0,14
dropna,0.9,dominant,1,13
dropna,0.9,dominant,2,13
dropna,0.9,dominant,3,15
dropna,0.9,dominant,4,13
dropna,0.9,dominant,5,12
dropna,0.9,dominant,6,14
dropna,0.9,dominant,7,13
dropna,0.9,dominant,8,13
dropna,0.9,dominant,9,12
dropna,0.9,dominant,10,14
dropna,0.9,dominant,11,12
dropna,0.9,dominant,12,13
dropna,0.9,dominant,13,13
dropna,0.9,dominant,14,12
dropna,0.9,dominant,15,14
dropna,0.9,dominant,16,14
dropna,0.9,dominant,17,11
dropna,0.9,dominant,18,12
dropna,0.9,dominant,19,14
dropna,0.9,dominant,20,13
dropna,0.9,dominant,21,13
dropna,0.9,dominant,22,15
