,suite,fid,iid
0,bbob,17,5
1,all,75,1
2,bbob,9,1
3,all,22,1
4,all,110,1
5,bbob,23,2
6,bbob,23,5
7,bbob,21,2
8,all,77,1
9,all,99,1
10,all,2,1
11,all,35,1
12,all,68,1
13,all,90,1
14,all,15,1
15,all,37,1
16,bbob,14,2
17,all,114,1
18,all,39,1
19,all,83,1
20,bbob,19,4
21,bbob,19,1
22,bbob,18,5
23,bbob,22,3
24,all,103,1
25,all,94,1
26,all,40,1
27,bbob,16,5
28,all,96,1
29,all,43,1
30,all,87,1
31,all,34,1
32,all,45,1
33,all,100,1
34,bbob,1,4
35,bbob,14,1
36,all,14,1
37,all,47,1
38,all,3,1
39,all,102,1
40,all,80,1
41,all,16,1
42,all,38,1
43,all,104,1
44,all,84,1
45,all,20,1
46,bbob,1,3
47,all,49,1
48,all,115,1
49,bbob,17,2
50,all,95,1
