,suite,fid,iid
0,cec2013,22,1
1,all,18,1
2,all,38,1
3,bbob,14,1
4,all,104,1
5,bbob,1,1
6,all,69,1
7,bbob,21,3
8,all,102,1
9,all,96,1
10,bbob,23,5
11,all,2,1
12,all,17,1
13,all,100,1
14,all,43,1
15,all,107,1
16,all,14,1
17,all,99,1
18,bbob,12,3
19,bbob,17,4
20,all,25,1
21,all,80,1
22,bbob,23,2
23,all,49,1
24,all,94,1
25,bbob,18,5
26,all,24,1
27,bbob,22,3
28,bbob,1,3
29,bbob,19,4
30,all,15,1
31,all,35,1
32,bbob,19,1
33,all,39,1
34,bbob,17,5
35,bbob,17,2
36,bbob,1,4
37,all,40,1
38,all,22,1
39,all,31,1
40,all,87,1
41,all,37,1
42,all,114,1
43,all,47,1
44,all,84,1
45,all,45,1
46,all,34,1
47,bbob,14,2
48,all,103,1
49,all,77,1
