,suite,fid,iid
0,bbob,17,5
1,cec2013,22,1
2,all,40,1
3,all,95,1
4,bbob,17,2
5,bbob,23,2
6,all,27,1
7,bbob,21,2
8,all,93,1
9,bbob,23,5
10,bbob,14,2
11,all,84,1
12,bbob,14,5
13,all,20,1
14,all,53,1
15,bbob,19,1
16,all,99,1
17,all,38,1
18,all,24,1
19,bbob,19,4
20,all,90,1
21,bbob,16,5
22,all,22,1
23,all,77,1
24,all,110,1
25,bbob,18,5
26,bbob,22,3
27,all,35,1
28,all,15,1
29,all,37,1
30,all,103,1
31,all,114,1
32,all,19,1
33,all,17,1
34,bbob,1,4
35,all,39,1
36,all,94,1
37,all,43,1
38,all,87,1
39,all,45,1
40,all,1,1
41,all,100,1
42,bbob,1,3
43,all,47,1
44,all,80,1
45,all,102,1
46,all,14,1
47,all,49,1
48,all,104,1
