,suite,fid,iid
0,bbob,21,2
1,cec2017,6,1
2,bbob,17,5
3,all,22,1
4,bbob,1,4
5,all,93,1
6,bbob,1,3
7,all,18,1
8,bbob,16,4
9,all,59,1
10,all,5,1
11,all,10,1
12,all,49,1
13,bbob,12,4
14,all,20,1
15,all,69,1
16,all,47,1
17,bbob,16,5
18,all,107,1
19,all,35,1
20,all,84,1
21,all,87,1
22,all,16,1
23,bbob,17,2
24,bbob,18,5
25,all,103,1
26,all,114,1
27,all,104,1
28,bbob,19,4
29,bbob,23,5
30,bbob,19,1
31,all,40,1
32,all,34,1
33,all,38,1
34,all,37,1
35,all,80,1
36,all,95,1
37,all,77,1
38,all,99,1
39,bbob,17,1
40,all,15,1
41,bbob,22,3
42,all,43,1
43,bbob,23,2
44,bbob,14,2
45,all,39,1
46,all,45,1
47,all,14,1
48,all,48,1
49,all,61,1
